,text,label,humour,text_conv
10,are maaya to shakkee nambar van hai kabhee main doodh pee vee krti kisane doodh piya udhar madhusoodan bhaee ne kisee aur ke mobail se mujhe esemes kiya niveshak kisaka nambar rahie madhu ko paane aapako,0,1,are maaya to shakkee nambar van hai kabhee main doodh pee vee krti kisane doodh piya udhar madhusoodan bhaee ne kisee aur ke mobail se mujhe esemes kiya niveshak kisaka nambar rahie madhu ko paane aapako
11,esemes kiya haan aur esemes mein bhee hain likha hua tha jo meree maaya ko bataaya ech ee aaeeene tab jaakar maaya ko yakeen hua ki,0,0,एसएमएस किया हाँ और एसएमएस में भी हैं लिखा हुआ था जो मेरी माया को बताया एच ई आईएनए तब जाकर माया को यकीन हुआ कि
12,ye esemes madhusoodan maanyata aise hee poochha tha ,0,1,एक अंत में बर्फ-ही pucha की मान्यता लाने esemes
13,vo shakti nahin hai davaee aur vois,0,0,वो शक्ति नहीं है दवाई और वॉइस
14,lagaataar 300000 aaj ke akaunt mehadee 100000₹03 roj ke andar andar maaya shakhs bhee lag rahee hogee,0,0,lagaataar 300000 आज ke akaunt mehadee 100000 ₹ 03 रोज ke अंदर अंदर maaya Shakhs Bhee अंतराल rahee hogee
15,maama shak kare nahin sakatee hai lagee shart ke nahin,0,1,माँ एक शाक की हालत नहीं लेते हैं नहीं हो सकता
16,varan naya mobail aadhee raat ko mujhe isase gavarnament aise maisej bhee chaand taare phool baag bageeche soleedaad,0,1,नया मोबाइल aghi वारंटी रात mujahai उसे संदेश मिलता है कि सरकार ने सितारों चंद्रमा गार्डन फूल बागवानी solidala
17,lekin main romaantik bhagavaan shiv,0,1,lekin मुख्य romaantik bhagavaan शिव
18,paane kee koshishen laalaapur mujhe mujhe kyoonki ab mujhe na koee romentik maisej aaega gud naeet laits meree sait khulane mein pleej mera mobail fon tumhaaree taraf ko shav hata len,0,0,paane kee koshishen laalaapur mujhe mujhe kyoonki ab mujhe na koee romentik maisej aaega gud naeet laits meree sait khulane mein pleej mera mobail fon tumhaaree taraf ko shav hata len
19,aadhee raat ko koee esemes aaega ya kisee garlaphrend ka fon jokhim daalenge,0,0,आधी रात को कोइ एसएमएस आएगा या किसी गर्लफ्रेंड का फोन जोखिम डालेंगे
20,mujhe tum par poora bharosa hai 2 seedhee iseelie to mera fon tumhaaree taraph rakh rakhaav mein laga,0,1,मुझे तुम पर पूरा भरोसा है 2 सीधी इसीलिए तो मेरा फोन तुम्हारी तरफ रख रखाव में लगा
21,abhee kisee ka esemes aaega lekin main riyaakaaree nahin karoongeeh,0,1,abhee kisee का esemes aaega lekin मुख्य riyaakaaree तो नहीं karoongeeh
22,maaya lait  maneesha ke haath ka uttapam khaaya khaana bahut takaleeph ho rahee hai monasoon uttar,0,1,लाइट माया एक मिमी के हाथ uthappam खाने भोजन उत्तर में मानसून के साथ बहुत गलत है
23,haan are vo braun see cheej rakhee huee thee jise dekhakar tumane kaha tha ki nirvaachan,0,1,"हाँ, रे ब्राउन बात उसने देखा कि वह चुनाव tumane रखने के लिए किया था"
24,mujhe jalaane kee koshish kar ke mar jaayegee ki main use jalaane kee koshish shaayad,0,0,मुझे जलाने की कोशिश कर के मर जायेगी कि मैं उसे जलाने की कोशिश शायद
25,yah blaikaberee ke phons signals nagaravaad kareeb rakho to signal se bren daimej ho sakata hai,0,1,यह ब्लैकबेरी के फोन्स सिग्नल्स नगरवाद क़रीब रखो तो सिग्नल से ब्रेन डैमेज हो सकता है
26,vo maaya ho to tab jab ghadee ghadee phon aaya aise maisej kaun phon karega vo aise malabe paich kyon nahin bheja jhooth mooth ka esemes lakhanoo see gannaur kee soochana manoj babalee ne,0,1,vo maaya ho to tab jab ghadee ghadee phon aaya aise maisej kaun phon karega vo aise malabe paich kyon nahin bheja jhooth mooth ka esemes lakhanoo see gannaur kee soochana manoj babalee ne
27,naee soch rahee thee ki hamaaree laiph daunalod monotonas ho gaee hai na ho to aisee koee baat bhee nahin jo ham 1 doosare ke baare mein na jaanate hon ya jo hamane 1 doosare se chhupaee ho vo to hai koee aisa seekret bhee nahin jisakee vajah se jhagada ya mis andarastainding ho vo to hai hota hai,0,0,naee soch rahee thee ki hamaaree laiph daunalod monotonas ho gaee hai na ho to aisee koee baat bhee nahin jo ham 1 doosare ke baare mein na jaanate hon ya jo hamane 1 doosare se chhupaee ho vo to hai koee aisa seekret bhee nahin jisakee vajah se jhagada ya mis andarastainding ho vo to hai hota hai
28,vishvaas ne baadal dal bikoz aayam daal vishv deepak singhal post midal hed sindrom shok karavaane kee koshish karo taake mein shak na karake tumhe pareshaan kar sakata tha,0,1,vishvaas ne baadal dal bikoz aayam daal vishv deepak singhal post midal hed sindrom shok karavaane kee koshish karo taake mein shak na karake tumhe pareshaan kar sakata tha
29,kya dhoondhate kal ho na tum prosesar ke saath kal naasik jariyon es nau its geting betar haan ab vah anaath bachchon ka skool inogaret karane ja rahee hoon kal se agar haal hoga brij,0,1,क्या dhoondti kal na प्रोसेसर तुम हो ke saath kal naasik jariyon तों नव इसके geting Betar हाँ अब VAH anaath bachchon का skool inogaret karane ja rahee हूं कल से अगर हाल hoga बृज
30,ab lain pe aaya hoon phainalee kyon apane 2ston ko bulaakar kee paartee karane ka iraada hoga majanoon tumaharshad naasik naasik mein,0,1,अब लाइन पे आया हूँ फाइनली क्यों अपने 2स्टों को बुलाकर की पार्टी करने का इरादा होगा मजनूँ तुमहारशाद नासिक नासिक में
31,saahil kahaan chala jaoonga ye khaalee khaalee ghar mujhe khaane ko daudega ham donon baiks ka susaid karee hel kuchh na kuchh gadabad hai,1,0,साहिल कहाँ चला जाऊँगा ये खाली खाली घर मुझे खाने को दौड़ेगा हम दोनों बाइक्स का सुसाइड करी है कुछ न कुछ गड़बड़ है
32,indravadanah kuchh jyaada hee khush kyon itana sab seej shakti chakr ghoomane lage nirodhan srshtigat baith sikka nikaalane ke lie ungalee tedhee karanee hee padee rosesh kee,0,0,indravadanah कुछ तो jyaada ही खुश क्यों itana सब seej शक्ति chakr ghoomane लगे nirodhan srshtigat baith सिक्का nikaalane ke झूठ ungalee tedhee karanee ही padee rosesh Kee
33,to dhany aap 1 nambar ke chaalaak hai yoo aar a devil,0,1,तो धन्य आप 1 नंबर के चालाक है यू आर अ डेविल
34,are maaya raat bhar tadapatee rahee ki abhee hindoo ka mobaeel bajega hamen bina shak kie ye mobaeel ko dhvani aur chain se so jaoongee lekin mobaeel bajaee re a,0,0,are maaya raat bhar tadapatee rahee ki abhee hindoo ka mobaeel bajega hamen bina shak kie ye mobaeel ko dhvani aur chain se so jaoongee lekin mobaeel bajaee re a
35,ba mera plaan se maaya mujhe mere bedaroom mein kisee ladakee ke saath paee kaun kise sunana monishaa kisee naatak kampanee kee aiktres ko dhoondhane gaee hai,0,1,बा मेरा प्लान से माया मुझे मेरे बेडरूम में किसी लड़की के साथ पई कौन किसे सुनना मोनिषा किसी नाटक कंपनी की ऐक्ट्रेस को ढूंढने गयी है
36,aage sindhu main aur ye 1tres donon bedaroom mein baithakar romaantik baaten karate hue aur maaya yah prabhaavatee bahan,0,1,आगे सिंधु मैं और ये 1ट्रेस दोनों बेडरूम में बैठकर रोमांटिक बातें करते हुए और माया यह प्रभावती बहन
37,namaste hamaare mandir trast kee raamaleela mein kaam main karatee hoon main ghungharoo bhee kar len 1 baar vah sugreev ka rol bhee kiya tha vah odisha hua leejiye aap bhee na,1,1,namaste hamaare mandir trust kee ramleela mein kaam main karti hoon main ghungharoo bhee kar len 1 baar vah sugreev ka rol bhee kiya tha vah odisha hua leejiye aap bhee na
38,bolie aapake lie mujhe kya karana hoga aap badhiya laga ki vaise to main koee bhee hal kar sakatee hoon main gaana bhee bahut achchha gaatee hoon suna dilleekeyarn mein ve gae bhee ve reema mein ve gae vahaan baaje va ab inake shav ka myoojikal naatak keejiye vo naatak dekhakar,0,1,bolie aapake lie mujhe kya karana hoga aap badhiya laga ki vaise to main koee bhee hal kar sakatee hoon main gaana bhee bahut achchha gaatee hoon suna dilleekeyarn mein ve gae bhee ve reema mein ve gae vahaan baaje va ab inake shav ka myoojikal naatak keejiye vo naatak dekhakar
39,mom ko jo shok lagega na aur,0,1,माँ को जो शोक लगेगा न और
40,moneesha ka graaph graund phlor se daayarekt neeche haalaanki aapakee aavaaz mein bahut dard hai lekin is rol ke lie thodee see chhupee padegee,0,0,मनीषा का ग्राफ ग्राउंड फ्लोर से डायरेक्ट नीचे हालांकि आपकी आवाज़ में बहुत दर्द है लेकिन इस रोल के लिए थोड़ी सी छुपी पड़ेगी
41,ab main modee ka mekap karava loongee badee dikhane ke lie bhee badee baat nahin kya hai maje ye hamaare naatak mein,1,0,अब मैं मोदी का मेकअप करवा लूंगी बड़ी दिखने के लिए भी बड़ी बात नहीं क्या है मजे ये हमारे नाटक में
42,1 bhee stree paatr nahin hai saare ladake hain to usame koee badee baat hai main ladaka ban jaungee main jaanata hai mujhe aapakee gazal naatak kainsal hua aisa ki,1,1,1 bhee stree paatr nahin hai saare ladake hain to usame koee badee baat hai main ladaka ban jaungee main jaanata hai mujhe aapakee gazal naatak kainsal hua aisa ki
43,hamaaree jo bahuen usaka chhota sa 1seedent hua aur aate aate apana ek chhota silendar takara gaya tujhe ab kya kramashah,1,1,हमारी जो बहुएँ उसका छोटा सा 1सीडेंट हुआ और आते आते अपना एक छोटा सिलेंडर टकरा गया तुझे अब क्या क्रमशः
44,raahil valamaama jab dopahar ko daadh hotal sharmila ke kophee shop mein kisee ledee ke saath sho ko bahut hee khoobasoorat aur atraiktiv thee vo to indaur va phrends ho sakate hain,1,1,raahil valamaama jab dopahar ko daadh hotal sharmila ke kophee shop mein kisee ledee ke saath sho ko bahut hee khoobasoorat aur atraiktiv thee vo to indaur va phrends ho sakate hain
45,donon aisee baith ke gappe maar rahe honge rote rote vo ro rahee thee donon ro rahe the aur dar ne 1 ledee ka haath pakadakar yah bhee kaha ki mujhe aur thoda vaqt do yashoda nand jashoda,0,1,donon aisee baith ke gappe maar rahe honge rote rote vo ro rahee thee donon ro rahe the aur dar ne 1 ledee ka haath pakadakar yah bhee kaha ki mujhe aur thoda vaqt do yashoda nand jashoda
46,indu bua jashoda lo kat gaun pairon mein seksee stailetos pahanakar sigaret hee thee jashoda se inphekt to tum mar bhee chuke hain un donon ko kanphrant kyon nahin kiya saahil,0,1,indu bua jashoda lo kat gaun pairon mein seksee stailetos pahanakar sigaret hee thee jashoda se inphekt to tum mar bhee chuke hain un donon ko kanphrant kyon nahin kiya saahil
47,kaleegs theen merisa ne roket sinh ne kriet karana tha is is roseph ne is chailenj ke baare mein,0,1,कलीग्स थीं मैरिसा ने रॉकेट सिंह ने क्रिएट करना था इस इस रोसेफ ने इस चैलेन्ज के बारे में
48,aapako bataane neeche ye dukh hoga ki aapakee jo saansadon ko daakoo pakad lete hain doosare se nidhiyaan ek afasar samajha hua to aaj kubool karate hue avashesh is sartiphaid idiyats,1,1,aapako bataane neeche ye dukh hoga ki aapakee jo saansadon ko daakoo pakad lete hain doosare se nidhiyaan ek afasar samajha hua to aaj kubool karate hue avashesh is sartiphaid idiyats
49,ordar ordar shesh meree baat suno agar tum ladakee hote to maich mein maneesha va maama is chailenj ka bahaana banaakar tumhaara pakka karana se kyon khaalee ghar ka faayada,0,1,ordar ordar shesh meree baat suno agar tum ladakee hote to maich mein maneesha va maama is chailenj ka bahaana banaakar tumhaara pakka karana se kyon khaalee ghar ka faayada
50,uthaana chaah rahe hon rangaraliyaan mana rahe hain maaya tum mujh par shak kar rahee hoon mainne maama shakunee maama to kairee yah ki aap paartee karo apane phrends ko gulaab 2222 aroma,0,1,uthaana चाह रहे माननीय rangaraliyaan मन रही हैं maaya tum मुझ बराबर शक कर rahee हूं mainne Maama shakunee kairee yah ki aap paartee करो apane phrends ko गुलाब 2222 सुगंध को Maama
51,ajanlee maaya mein bhee aisee kuchh soch raha hoon vo ye yashavant yashavant mera koee yashavant nahin hai are maaya tum mujhape shak kar rahe ho,1,1,अजंली माया में भी ऐसी कुछ सोच रहा हूँ वो ये यशवंत यशवंत मेरा कोई यशवंत नहीं है अरे माया तुम मुझपे शक कर रहे हो
52,maama par shak na kare maama to yaad karane kee koshish kar rahee hai yashavant sharaab pravartan aayojak abhee bata 2 pleez batao na kal,0,1,याद रखें कि यदि आप ऐसा करेंगे संदिग्ध माँ माँ यशवंत शराब प्रवर्तन योजनाकार बाटा बस पिछले 2 palijha बताने के लिए कोशिश कर रहा है नहीं
53,tum donon pakka jaaree hona naitikata yashavant bobee jorj elsar 10 grid ko mis kol hoga usake baad shuroo keejiye,0,0,आप दोनों मजबूत नैतिकता यशवंत बॉबी जॉर्ज elsara 10 ग्रिड मिस कोल kijiye के बाद आरंभ होगा होना जारी
54,aap achchha karo aur naasik jaane ke nirnay to ham log indradhanushee nazaron mein naasik ja rahe hain 1chualee,0,1,आप अच्छा करो और नासिक जाने के निर्णय तो हम लोग इन्द्रधनुषी नज़रों में नासिक जा रहे हैं 1चुअली
55,ham tumhaare yahaan chhupane vaale nae indravadan us yashoda ko hamaare ghar lekar aane vaala hai hamaaree gair maujoodagee,0,1,हम भी हमारे अभाव के साथ आने के लिए अपने indravadana यशोदा उसके साथ हमारे घर के साथ कवर
56,mein obaama ko aap ko ulloo bana rahe koee yashoda ne donon ko dekha hai saahil jab hudda apanee sleevs aansoo poshan yashoda hotal shangarila ke kophee shop hotal chain,0,1,mein obama ko aap ko ullu bana rahe koi yashoda ne donon ko dekha hai saahil jab hudda apanee sleevs aansoo poshan yashoda hotal shangarila ke kophee shop hotal chain
57,mila lekin vo to renoveshan ke lie band maama mujhe bhee laga lekin ham iseeliye tudava gae honge ye sochate,0,0,मिला लेकिन वो तो रेनोवेशन के लिए बंद मामा मुझे भी लगा लेकिन हम इसीलिये तुड़वा गए होंगे ये सोचते
58,ki hotal ka rinoveshan chal raha hamamen se vaape koee hoga aap ulloo bana rahe saahil baik chaalak ko ulloo bana rahe,0,1,की होटल का रिनोवेशन चल रहा हममें से वापे कोइ होगा आप उल्लू बना रहे साहिल बाइक चालक को उल्लू बना रहे
59,hain aise mein ab brek mein bahut hee seeriyas ho ulloo bana rahe saahil saahil tumhe bandar bana sakata jo ek gadha bana sakata lekin,0,0,हैं ऐसे में अब ब्रेक में बहुत ही सीरियस हो उल्लू बना रहे साहिल साहिल तुम्हे बन्दर बना सकता जो एक गधा बना सकता लेकिन
60,nahin bana sakata kyoonki koee saahil aaj main indravadan ko red haind pakadane vaalee hoon ki is en jee lekin aap shak karenge  meree to aankhen yashuda aaee lav yoo lekin,0,1,nahin bana sakata kyoonki koee saahil aaj main indravadan ko red haind pakadane vaalee hoon ki is en jee lekin aap shak karenge  meree to aankhen yashuda aaee lav yoo lekin
61,is bhaee tumane mujh pe shak kiya  tum bhee inake saath milakar ki aisa odisha ka itana asar pada mainne,0,1,इस भाई तुमने मुझ पे शक किया  तुम भी इनके साथ मिलकर की ऐसा ओडिशा का इतना असर पड़ा मैंने
62,isalie mujhe vo putala la ke diya kitana ummeedon klaas maanakon nahin hai agar aap premapoorn drshti se kyon thee usake muqaabale hee putala to dekha maama,1,1,इसलिए मुझे वो पुतला ला के दिया कितना उम्मीदों क्लास मानकों नहीं है अगर आप प्रेमपूर्ण दृष्टि से क्यों थी उसके मुक़ाबले ही पुतला तो देखा मामा
63,saaree roz tum photo  maichon ke maama aakar chaanta gae kle ke lie mere gaal tarasate rahate hain achchha hai maayaajee pleej pleej 2 din thappad aur maaroonga lekin,0,0,saaree roz tum photo  maichon ke maama aakar chaanta gae kle ke lie mere gaal tarasate rahate hain achchha hai maayaajee pleej pleej 2 din thappad aur maaroonga lekin
64,aapane mujhe ulloo da eediyat bandar ka phainalee mom samajh gaee gusse mein aakar ke kaha tha sveetee asalee,0,0,आपने मुझे उल्लू द ईडियट बन्दर का फाइनली माँ समझ गयी गुस्से में आकर के कहा था स्वीटी असली
65,ulloo ekagati main hoon maayaavatee ne sirph usaka dil rakhane ke lie kaha hai hansane kee koee zarurat thee mujhe maaph kar,0,1,उल्लू एकगति मैं हूँ मायावती ने सिर्फ उसका दिल रखने के लिए कहा है हंसाने की कोई ज़रूरत थी मुझे माफ कर
66,2 pleez maaya kumaavat aur jaldee se ye cheks ya maama ye leejiye aur ab meree kavita sunen to ye chek vaapas le le magar kaee choree kee hai iseeli,0,1,"2 palijha मेरे कुमावत और crying.Firstly इन जांच करता है कि वे माँ lijiye और अब मेरी कविता sunem चेक वापस लेने, लेकिन कई चोरी isili"
67,do desaee ne ise 10 baar kaha hai ki isase kailshiyam diphishiensee hai doodh peena jarooree hai varana ghutane jvaint sab bekaar ho jaenge lekin ,0,0,दो देसाई ने इसे 10 बार कहा है कि इससे कैल्शियम डिफिशिएंसी है दूध पीना जरूरी है वरना घुटने ज्वाइंट सब बेकार हो जाएंगे लेकिन
68,do bakavaas karate rahate honge saradaar mein bhee daaktaron aur yahaan kuchh daaktar jo bakavaas karate rahate hain koee nijee phaayada hoga mujhe doodh pilaane mein ,1,0,do bakavaas karate rahate honge saradaar mein bhee daaktaron aur yahaan kuchh daaktar jo bakavaas karate rahate hain koee nijee phaayada hoga mujhe doodh pilaane mein
69,aakaash do desaee to doodh vaala bhaiya ko ghar ghar doodh bechane jaate hain gale mein stetheskop lataka the inako doodh pilaane ke chakkar mein mere ghutane kamazor ho gae isake peechhe peechhe bhaagy agar,1,1,aakaash do desaee to doodh vaala bhaiya ko ghar ghar doodh bechane jaate hain gale mein stetheskop lataka the inako doodh pilaane ke chakkar mein mere ghutane kamazor ho gae isake peechhe peechhe bhaagy agar
70,ostiyoporosis ho gaya aur tumhaare ghutane bekaar hoga tumhaaree maan kee tarah main tumhaaree dekhabhaal karane vaalee hoon,0,0,ऑस्टियोपोरोसिस हो गया और तुम्हारे घुटने बेकार होगा तुम्हारी माँ की तरह मैं तुम्हारी देखभाल करने वाली हूँ
71,meree betee meree dekhabhaal karane ke lie,0,0,मेरी बेटी मेरी देखभाल करने के लिए
72,jameen bhee grees mein apana naam se maans pyaaj ka bandal se aae hue  are mauleejaagaraan mein to bechaare aartiphishal plaants bhee murajha jaate hain tumhen to maalum ne,1,1,jameen bhee grees mein apana naam se maans pyaaj ka bandal se aae hue  are mauleejaagaraan mein to bechaare aartiphishal plaants bhee murajha jaate hain tumhen to maalum ne
73,mom daid hamen ye tay karane kee aap donon ka jhagada kaise solv kiya,0,0,मॉम डैड हमें ये तय करने की आप दोनों का झगड़ा कैसे सॉल्व किया
74,ise kaho ki chupachaap doodh pee len varana mujhase bura koee na hoga chupachaap dhotee,0,0,यह चुपचाप लेन बदल जाता है बुरा के दूध पीना मुझे चुपचाप किसी भी कपड़े धोने का क्या होगा कहो
75,lie pahale se kaho ki mujhase main is ghar ka maalik hoon mom gret  mainne gyaan bujurg dhool chataee par yoonit brek,0,1,लिए पहले से कहा की मुझसे मैं इस घर का मालिक हूँ माँ ग्रेट  मैंने ज्ञान बुजुर्ग धुल चटाई पर यूनिट ब्रेक
76,agar aap bhee chalie aapako raaste mein maan ko chhod apanee apanee khayaal aalaap pandit jee 3 jee ne aaj cheen chupake chupake geet,0,1,"आप जिस तरह से चलना यदि आप पौधों की मुख्य मूल्य लगता है, उनकी राग पंडित 3 जी आज अवलंबी चुपके चुपके के बोल"
77,1 minat apane zinda hone ka saahil aaj main sudhaanshu khaan kee penting egjibishan dekhane gaee thee aur inspireshan ban kar lautee hoon jab main gailaree mein pahunchee to badee badee soshalaits sudhaanshu ke oil khareed rahee thee,0,0,1 minat apane ज़िदा होन का साहिल आज मुख्य sudhaanshu Khaan Kee penting egjibishan dekhane Gaee तुमको aur inspireshan पर प्रतिबंध लगाने कर lautee हूं प्रहार Badee Badee soshalaits sudhaanshu ke तेल के लिए मुख्य gailaree mein pahunchee khareed rahee तुमको
78,sudhaanshu tel,0,1,Sudhaansu तेल
79,mein oyals matalab aaee pen 23,1,1,में ऑयल्स मतलब ाई पेन 23
80,jaise hee mein inch huee jhooma banarjee boleen mera naam sunate hee sudhaanshu meena maaya yah maaya jagat bhee kabhee kisee ne kaha hai ki tum duniya kee sabase megnetik chip kampaneej aurat,0,0,jaise ही इंच Mein huee jhooma banarjee boleen मेरा नाम sunate ही sudhaanshu मीना maaya हाँ maaya जगत Bhee kabhee kisee ne कहा है की तुम दुनिया Kee sabase megnetik चिप kampaneej औरत
81,vo itana bada jhooth kyon bolega ye jhooth,1,1,वो इतना बड़ा झूठ क्यों बोलेगा ये झूठ
82,shraddhaanjali meree aankhon mein aankhe daalakar phir dheere se bola main tumhaaree penting banaana chaahata hoon bee bee mainas saaraabhaee,0,0,मेरी आँखों के लिए मुख्य dalakara हड़ताली श्रद्धांजलि फिर धीरे से बोली जाने वाली आदमी पेंटिंग आप बी बी माइनस साराभाई जाना चाहता हूँ बनाने के लिए
83,magar khachchar kyon jyaada mameejee nyooj nyooj maneesha khachchar myool,1,1,मगर खच्चर क्यों ज्यादा मामीजी न्यूज न्यूज मनीषा खच्चर म्यूल
84,aphreeka ka mauka pahalee baar sharm se aankhe jhuk gaee aur usane jhat se apana tee shart nikaala aur mere aansoo ponchhane se use isakee chhupe ne koments se agar main ro bhee padeen to ab mere aansoo ponchhane vaala koee mil gaya hai mujhe banaana chaahata hai sudhaanshu khaan jaisa selebretee,0,1,aphreeka ka mauka pahalee baar sharm se aankhe jhuk gaee aur usane jhat se apana tee shart nikaala aur mere aansoo ponchhane se use isakee chhupe ne koments se agar main ro bhee padeen to ab mere aansoo ponchhane vaala koee mil gaya hai mujhe banaana chaahata hai sudhaanshu khaan jaisa selebretee
85,ben hamaare ghar aane vaala hai esateeeph stejing lee jab  11 hee bhul poora buke khareedane ke ₹ nahin the ab mujhe aur sabr nahin kiya,0,0,ben hamaare ghar aane vaala hai esateeeph stejing lee jab  11 hee bhul poora buke khareedane ke ₹ nahin the ab mujhe aur sabr nahin kiya
86,to baatharoom aur bedaroom kee sthiti kyon maan kee trending mein 1 shaikshik  haoo kisee baithak mein jaise magaramachchh keechad se bhare hue paanee mein daal bhee,0,1,to baatharoom aur bedaroom kee sthiti kyon maan kee trending mein 1 shaikshik  haoo kisee baithak mein jaise magaramachchh keechad se bhare hue paanee mein daal bhee
87,dikhaane padenge kis din kaam aayenge,1,1,दिखाने पड़ेंगे किस दिन काम आएंगे
88,jaise doodh ke chheente par pahalee baar sari pahanee huee makkhee najar aaengee,0,1,jaise दूध ke chheente बराबर pahalee baar साड़ी pahanee huee makkhee Najar aaengee
89,sudhaanshu bhaaree bhrashtaachaar kee phool bhavare inheen sinema jaise gaay ke shareer par khoon choos drink aal sarph aur doodh ke chhipe baithee huee makkhee to aavaaz bhee to karuna,1,1,sudhaanshu bhaaree bhrashtaachaar Kee फूल bhavare inheen फिल्में jaise gaay ke shareer बराबर खून choos पीने AAL sarph aur दूध ke chhipe baithee huee makkhee को aavaaz Bhee को करुणा
90,baithee mein makkhiyaan udatee huee makkhee ne oke haan to thoda sa ubhara aur phir thoda sa doodh ke chheente ko dekhakar us katha vaaya muskura sar thoda sa dhairy rakhana,0,0,baithee mein makkhiyaan udatee huee makkhee ne ओके हाँ करने के लिए थोडा सा ubhara aur फिर थोडा सा दूध ke chheente ko dekhakar हमें कथा vaaya मुस्कुरा खोज एवं बचाव थोडा सा dhairy rakhana
91,khilaana na tode  aaee tee shart kharaab ho gaee maaya ke chehare kee laalee ko sametakar koee bhee cheej bairesing bhee,0,1,नेत्र फ़ीड टूट जाता है की टी शर्ट sametakara कुछ भी बुरा चेहरे लाली या कोमलता किया गया है भी bairesinga
92,gathit phlaing objekts regyular vet liphting karate honge na to phir heldee bodee ka raaj,0,1,gathit phlaing objekts regyular पशु चिकित्सक liphting कराटे होंगे ना करने के लिए फिर heldee bodee का राज
93,1sarasaij roj 2 glaas 2 din tak vandhya,0,0,2 ग्लास 2 दिन vandya पर 1 sarasaija
94,iseelie indravardhan kee bodee kavar skalptid nahin ban sakatee ki bvaayad makkhee makkhee maarane kee davaee chhidakate samaya aapake pendig mukadamon mein,1,1,तो कवर नहीं शरीर के indravardhana बन skalpatinda bavayada makakhi makakhi है कि आपका समय बाध्यकारी प्रकार chidakate मुकदमों मेन को मार सकता है
95,kitane din lagenge,0,0,कितने दिन लगेंगे
96,photo kheench rahe the 2 minat mein ho jaata,0,1,फोटो खींच रहे थे 2 मिनट में हो जाता
97,vaise svaasthy ek photo stoodiyo mein to 10 kopee par 15 parsent diskaunt,0,1,वैसे स्वास्थ्य एक फोटो स्टूडियो में तो 10 कॉपी पर 15 परसेंट डिस्काउंट
